OBJECTID,plz,ags,ort,landkreis,bundesland,einwohner,note,SHAPE_Length,SHAPE_Area
1,52538,05370008,Gangelt,Kreis Heinsberg,Nordrhein-Westfalen,21390,"52538 Gangelt, Selfkant",91919.7199904364,229067346.598819
2,47559,05154040,Kranenburg,Kreis Kleve,Nordrhein-Westfalen,10220,47559 Kranenburg,83822.7674870039,200556571.371099
3,52525,05370016,Heinsberg,Kreis Heinsberg,Nordrhein-Westfalen,49737,"52525 Waldfeucht, Heinsberg",93526.833817377,309565824.786043
4,52074,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,30606,52074 Aachen,63493.6454851089,81470209.0789445
5,52531,05370028,Übach-Palenberg,Kreis Heinsberg,Nordrhein-Westfalen,24238,52531 Ãœbach-Palenberg,55969.8188721396,65657911.5839816
6,52511,05370012,Geilenkirchen,Kreis Heinsberg,Nordrhein-Westfalen,26300,52511 Geilenkirchen,85651.6022961299,209578062.419336
7,52072,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,21256,52072 Aachen,44898.0554207905,48543868.5400527
8,47574,05154016,Goch,Kreis Kleve,Nordrhein-Westfalen,32784,47574 Goch,99516.616828204,299953798.446837
9,47533,05154036,Kleve,Kreis Kleve,Nordrhein-Westfalen,47480,47533 Kleve,100200.243523851,255532968.670963
10,52134,05334016,Herzogenrath,Städteregion Aachen,Nordrhein-Westfalen,46468,52134 Herzogenrath,70985.1593198965,83601050.9752193
11,52076,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,20248,52076 Aachen,81739.0300894909,137387694.325924
12,52064,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,22594,52064 Aachen,17882.4553128873,5453584.02939998
13,41372,05166020,Niederkrüchten,Kreis Viersen,Nordrhein-Westfalen,14966,41372 NiederkrÃ¼chten,73881.4894686745,170227573.218273
14,52070,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,22563,52070 Aachen,28742.2170190604,22935872.5505087
15,52066,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,31839,52066 Aachen,27861.7820769008,19194038.1251622
16,41379,05166004,Brüggen,Kreis Viersen,Nordrhein-Westfalen,15516,41379 BrÃ¼ggen,59020.4835183509,156340255.575436
17,52062,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,15989,52062 Aachen,11876.747656074,4093756.39602541
18,41849,05370036,Wassenberg,Kreis Heinsberg,Nordrhein-Westfalen,16951,41849 Wassenberg,54973.3114066714,107550988.990387
19,52146,05334036,Würselen,Städteregion Aachen,Nordrhein-Westfalen,37233,52146 WÃ¼rselen,54296.0245223942,86359027.9249273
20,47652,05154064,Weeze,Kreis Kleve,Nordrhein-Westfalen,10077,47652 Weeze,70925.2133469504,206126723.173763
21,52068,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,15378,52068 Aachen,19481.2039352475,13548130.197663
22,46446,05154008,Emmerich am Rhein,Kreis Kleve,Nordrhein-Westfalen,29948,46446 Emmerich am Rhein,89763.3301478052,210431041.436775
23,52080,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,26232,52080 Aachen,38277.5377476245,37681356.7890361
24,54689,07232001,Affler,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2326,"54689 Daleiden, Preischeid u.a.",91762.0225454192,177475153.479113
25,47551,05154004,Bedburg-Hau,Kreis Kleve,Nordrhein-Westfalen,12620,47551 Bedburg-Hau,73840.0635324125,159715358.115151
26,52078,05334002,Aachen,Städteregion Aachen,Nordrhein-Westfalen,29730,52078 Aachen,39927.6151163824,31334502.0066687
27,52477,05334004,Alsdorf,Städteregion Aachen,Nordrhein-Westfalen,46553,52477 Alsdorf,44535.236025161,79309835.4513503
28,54617,07232234,Harspelt,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,531,54617 LÃ¼tzkampen,51620.5611017555,50770109.3672612
29,41844,05370040,Wegberg,Kreis Heinsberg,Nordrhein-Westfalen,27947,41844 Wegberg,96530.215300726,213818145.596585
30,52499,05334008,Baesweiler,Städteregion Aachen,Nordrhein-Westfalen,26376,52499 Baesweiler,40011.8465221087,69615256.2488852
31,41836,05370020,Hückelhoven,Kreis Heinsberg,Nordrhein-Westfalen,38969,41836 HÃ¼ckelhoven,72542.350141669,154591968.21476
32,54673,07232005,Ammeldingen bei Neuerburg,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,3944,54673 Neuerburg u.a.,121750.702038167,286762529.743228
33,41334,05166016,Nettetal,Kreis Viersen,Nordrhein-Westfalen,41462,41334 Nettetal,78755.18285728,214384952.55504
34,54619,07232220,Eschfeld,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,1691,54619 Ãœttfeld,93796.6328624045,169468325.601823
35,47624,05154032,Kevelaer,Kreis Kleve,Nordrhein-Westfalen,2371,47624 Kevelaer-Twisteden,28821.6909518904,38809004.6844718
36,52159,05334024,Roetgen,Städteregion Aachen,Nordrhein-Westfalen,8288,52159 Roetgen,10422.2631892445,4678962.78586622
37,54616,07232329,Winterspelt,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,847,54616 Winterspelt,49094.2113477467,61515594.5246288
38,52159,05334024,Roetgen,Städteregion Aachen,Nordrhein-Westfalen,8288,52159 Roetgen,31044.6714276392,19358094.1353927
39,52156,05334020,Monschau,Städteregion Aachen,Nordrhein-Westfalen,12124,52156 Monschau,29259.9307366937,30079786.5994425
40,52222,05334032,Stolberg,Städteregion Aachen,Nordrhein-Westfalen,20927,52222 Stolberg (Rhld.),36989.8647857176,35740017.0282498
41,52159,05334024,Roetgen,Städteregion Aachen,Nordrhein-Westfalen,8288,52159 Roetgen,41640.1435136026,73051482.4039326
42,52156,05334020,Monschau,Städteregion Aachen,Nordrhein-Westfalen,12124,52156 Monschau,6426.50771776296,2395296.84405341
43,52223,05334032,Stolberg,Städteregion Aachen,Nordrhein-Westfalen,20865,52223 Stolberg (Rhld.),37219.3195023426,43589864.2299791
44,52249,05334012,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,54732,52249 Eschweiler,79644.540964886,189449511.019049
45,47623,05154032,Kevelaer,Kreis Kleve,Nordrhein-Westfalen,16449,47623 Kevelaer-Mitte,32746.8501891601,50363849.279084
46,52441,05358036,Linnich,Kreis Düren,Nordrhein-Westfalen,12576,52441 Linnich,75836.3974648588,165078654.619081
47,52156,05334020,Monschau,Städteregion Aachen,Nordrhein-Westfalen,12124,52156 Monschau,82226.5852382373,201711880.672822
